channelViewCount,totalviews/channelelapsedtime,likes/views,totvideos/videocount,videoCount,videoLikeCount,channelCommentCount,comments/views,dislikes/views,videoDislikeCount,videoCategoryId,likes/dislikes,channelDays
572752,10.706445341707793,0.006625650733554188,15909.777777777776,36,28,22,0.001183151916706105,0.000473260766682442,2,17,-2.0,2229.0
2950967,62.351398749154825,0.0028328611898017,14465.524509803921,204,8,2,0.0,0.0,0,10,-2.0,1972.0
3440476,60.43556773468241,0.04899354348651728,90538.84210526316,38,129,37,0.009115077857956705,0.000379794910748196,1,24,-2.0,2372.0
507187,10.91006281190845,0.0012896569512509672,587.0219907407408,864,10,2,0.0,0.00025793139025019347,2,17,-2.0,1937.0
72440,1.2789548022598871,0.003105590062111801,1448.8,50,8,54,-1.0,0.003105590062111801,8,10,-2.0,2360.0
16735422,320.1603535353535,0.008728179551122194,68587.79508196721,244,21,128,0.0,0.0004156275976724855,1,26,-2.0,2178.0
2484,0.0454945054945055,0.0013192612137203164,828.0,3,3,1,0.0017590149516270891,0.0017590149516270891,4,27,-2.0,2275.0
4030,0.0827175697865353,0.008188585607940444,4030.0,1,33,1,0.0017369727047146402,0.0,0,22,-2.0,2030.0
58698,1.2339808274470232,-1.0,14674.5,4,-1,0,-1.0,-1.0,-1,28,-2.0,1982.0
12078,0.2481508875739645,0.0006205398696866272,929.0769230769232,13,2,0,0.0,0.0,0,24,-2.0,2028.0
347096,6.943030884941591,0.007874015748031496,2590.2686567164183,134,55,0,0.0,0.0005726556907659269,4,26,-2.0,2083.0
64426,1.4370538900785153,-1.0,1952.3030303030305,33,-1,0,0.0004916420845624387,-1.0,-1,1,-2.0,1868.0
23029,0.4143098733448474,0.0029878188922086877,2878.625,8,13,0,0.0,0.0,0,22,-2.0,2316.0
1143,0.021706927985414768,0.003499562554680665,1143.0,1,4,0,0.0,0.0017497812773403325,2,28,-2.0,2194.0
576055,11.584117599742598,0.010276172125883108,8348.623188405798,69,16,9,0.0032113037893384713,0.0,0,24,-2.0,2072.0
34857,0.7186417615042059,0.011017838405036728,1394.28,25,21,0,0.001049317943336831,0.0036726128016789095,7,10,-2.0,2021.0
24581,0.5376421697287839,0.006339144215530904,1638.7333333333331,15,12,0,0.0,0.0,0,22,-2.0,1905.0
35333,0.6342991526640815,0.0,3925.888888888889,9,0,0,0.0,0.0,0,19,-2.0,2321.0
6614715,136.03806762092793,0.014206740771562741,11686.77561837456,566,239,0,0.0047553944005230935,0.0002972121500326933,5,20,-2.0,2026.0
558001,10.879757448136015,0.0044480388192478775,19928.60714285714,28,33,2,0.002426202992317024,0.0002695781102574471,2,28,-2.0,2137.0
83682,1.4951758147512864,0.0005691519635742745,16736.4,5,47,4,0.0029305271315952,0.0008840019859770645,73,24,-2.0,2332.0
4235069,79.16608718408851,0.0022964140611199434,3777.938447814452,1121,13,52,0.013778484366719659,0.00035329447094152984,2,20,-2.0,2229.0
34005,0.6904848927875243,0.00038189803322512885,2125.3125,16,2,0,0.004582776398701547,0.00038189803322512885,2,17,-2.0,2052.0
2809268,53.181659851582616,0.008548596915071548,140463.4,20,46,12,0.0020442296970823266,0.00037167812674224123,2,20,-2.0,2201.0
103494,2.077191714836224,0.0008103727714748784,1045.3939393939397,99,1,1,0.0,0.0,0,22,-2.0,2076.0
81688,1.6942093910735023,0.006321112515802781,423.2538860103627,193,10,0,0.0,0.0,0,17,-2.0,2009.0
9097,0.1738723241590214,0.0038571188998826095,324.89285714285717,28,23,0,0.0006708032869361059,0.0028509139694784503,17,22,-2.0,2180.0
1429035,29.801363863863862,-1.0,3702.163212435233,386,-1,0,-1.0,-1.0,-1,17,-2.0,1998.0
83590,1.7216592519360685,0.002073255010366275,2458.5294117647063,34,30,0,0.0007601935038009676,0.0014512785072563926,21,23,-2.0,2023.0
71918,1.330041426246486,0.012345679012345678,2179.333333333333,33,20,14,0.004320987654320986,0.0006172839506172839,1,17,-2.0,2253.0
2392,0.04210674552879876,0.0,1196.0,2,0,0,0.0004288164665523156,0.0004288164665523156,1,22,-2.0,2367.0
10629,0.23457362288135594,0.0057369814651368044,1181.0,9,13,6,0.0008826125330979699,0.00264783759929391,6,10,-2.0,1888.0
1545,0.029844691701437182,0.003883495145631068,1545.0,1,6,0,0.0,0.0,0,22,-2.0,2157.0
29174,0.5932568732715146,0.003093580819798917,2917.4,10,12,0,0.004124774426398557,0.00025779840164990984,1,20,-2.0,2049.0
102378,2.2617974549310707,0.00238578401798936,3302.5161290322585,31,87,0,0.000274228048044754,0.0002468052432402786,9,27,-2.0,1886.0
67204,1.3553565666343983,0.004223227752639517,896.0533333333333,75,14,1,0.0027149321266968325,0.0,0,24,-2.0,2066.0
4526794,90.50691778630838,0.054319371727748686,28833.082802547768,157,664,5,0.002454188481675393,0.000899869109947644,11,22,-2.0,2084.0
2921,0.05714006259780908,0.01358695652173913,324.5555555555556,9,25,0,0.003804347826086957,0.0005434782608695652,1,10,-2.0,2130.0
475285,10.607146045349047,0.05603112840466926,7665.887096774193,62,432,2,0.0036316472114137494,0.001037613488975357,8,22,-2.0,1867.0
122263,2.429323636941662,0.0009537434430138293,1373.741573033708,89,6,0,0.0,0.0,0,28,-2.0,2097.0
84894,1.814905079527963,0.0016801588513823125,2829.8,30,11,0,0.00015274171376202842,0.00015274171376202842,1,26,-2.0,1949.0
25176,0.5455018200728029,0.000581170089112747,12588.0,2,9,0,0.0009040423608420508,0.004391062895518533,68,23,-2.0,1923.0
30345,0.6761363636363636,0.004315659679408139,1167.1153846153845,26,7,0,0.0018495684340320594,0.0012330456226880395,2,22,-2.0,1870.0
58483,1.0603967217870611,0.0032553092543791662,1827.59375,32,21,2,0.0015501472639900793,0.0003100294527980158,2,15,-2.0,2298.0
6168,0.13267940113577698,0.0011904761904761904,362.8235294117647,17,2,0,0.0,0.0,0,24,-2.0,1937.0
265425,5.141503951650395,0.002090301003344481,1053.2738095238096,252,5,3,0.0,0.0004180602006688963,1,25,-2.0,2151.0
36607,0.7222024936868687,0.00034687184661957615,9151.75,4,11,0,0.00031533804238143286,0.00031533804238143286,10,28,-2.0,2112.0
62547,1.27252197265625,0.0057047309924264785,403.5290322580645,155,58,0,0.0012786466017507625,0.0002950722927117144,3,26,-2.0,2048.0
142672,2.8160429496289283,0.0028338873263444985,8917.0,16,133,0,0.0005966078581777891,0.00010653711753174806,5,22,-2.0,2111.0
12629,0.24384074760580784,0.0035254715318173814,4209.666666666667,3,20,0,0.0021152829190904283,0.0,0,22,-2.0,2158.0
20318,0.3647493896309062,0.0035637918745545258,3386.333333333333,6,5,1,0.0,0.0,0,10,-2.0,2321.0
69916,1.4052902395883582,0.005014625992478061,11652.666666666664,6,12,2,0.0,0.0,0,10,-2.0,2073.0
3736,0.07257187257187257,0.002615518744551003,311.3333333333333,12,6,0,0.0004359197907585005,0.0008718395815170009,2,24,-2.0,2145.0
14783,0.2699203914694712,0.00994178235557546,703.952380952381,21,111,0,0.001522615315718764,0.00017913121361397223,2,10,-2.0,2282.0
59983,1.3099012928022362,0.00746347103962998,7497.875,8,355,0,0.0010091453800063072,0.0001261431725007884,6,10,-2.0,1908.0
1567689,28.59911339754816,0.014566642388929353,4597.3284457478,341,40,14,0.0021849963583394027,0.0,0,27,-2.0,2284.0
198712,4.076645330707369,0.011153712094806551,2759.888888888889,72,32,0,0.002091321017776229,0.0,0,2,-2.0,2031.0
18682,0.3420108377270065,0.0029757476565987198,1037.888888888889,18,20,2,0.015473887814313346,0.00014878738282993602,1,20,-2.0,2276.0
2720846,50.27431633407243,0.025526483726866625,32009.95294117647,85,80,0,0.0003190810465858328,0.0012763241863433313,4,24,-2.0,2255.0
5055,0.09582575068243858,0.01282051282051282,722.1428571428571,7,56,0,0.002289377289377289,0.0,0,27,-2.0,2198.0
235032,4.751576904415332,0.004469642285206201,47006.4,5,935,0,0.00034418635779127964,8.604658944781991e-05,18,10,-2.0,2061.0
229720,4.145373177421683,0.003627450980392157,6045.263157894738,38,37,0,0.0013725490196078432,0.0014705882352941176,15,17,-2.0,2309.0
13178,0.27578268876611417,0.0020905923344947735,1198.0,11,9,0,0.0016260162601626016,0.0,0,17,-2.0,1991.0
327043,6.320404298082869,0.01418859000886787,2795.2393162393164,117,96,1,0.0008867868755542418,0.0013301803133313624,9,20,-2.0,2156.0
266993,5.696215224441032,0.023809523809523808,1608.3915662650602,166,31,26,0.012288786482334871,0.005376344086021507,7,22,-2.0,1953.0
162875,2.960932955206516,0.0018785222291797122,3465.425531914894,47,3,2,0.0,0.0,0,24,-2.0,2292.0
213662,4.197351878044946,0.004542504866969501,4189.4509803921555,51,7,19,0.003893575600259572,0.0025957170668397143,4,10,-2.0,2121.0
17668,0.3116709003669207,0.004203446826397646,8834.0,2,20,0,0.002101723413198823,0.00021017234131988233,1,10,-2.0,2362.0
234286,4.220456838161119,0.0006142506142506142,1105.122641509434,212,1,1,0.0,0.0,0,27,-2.0,2313.0
540092,9.953044375644994,0.004775549188156638,720.1226666666665,750,5,8,0.0009551098376313276,0.0,0,20,-2.0,2261.0
98252,1.8952932098765432,0.001321003963011889,1091.6888888888886,90,2,3,0.001321003963011889,0.0,0,20,-2.0,2160.0
435730,8.612626502213791,0.028812177222071213,3377.7519379844957,129,106,12,0.005436259853220984,0.0016308779559662953,6,20,-2.0,2108.0
3988392,89.29768941429339,0.004285714285714286,2806.750175932442,1421,6,0,0.0,0.0,0,26,-2.0,1861.0
4467126,92.78676470588236,0.0048350806644645505,29583.615894039736,151,909,0,0.0004627634959388514,0.001159568300168616,218,27,-2.0,2006.0
7687,0.171646123615577,0.003322259136212625,3843.5,2,16,0,0.00020764119601328904,0.0008305647840531563,4,22,-2.0,1866.0
123751,2.4507089670468947,0.002615518744551003,631.3826530612246,196,6,0,0.002179598953792502,0.0008718395815170009,2,22,-2.0,2104.0
14580659,314.7810664939551,0.013496267547770145,19261.10832232497,757,772,14,0.0011363437702138074,0.00036712644883830697,21,17,-2.0,1930.0
29831,0.5725280208813143,0.001592920353982301,634.7021276595743,47,9,3,0.00017699115044247788,0.00017699115044247788,1,15,-2.0,2171.0
3391,0.06505141190914672,0.0010148849797023004,1695.5,2,3,0,0.0006765899864682003,0.0,0,22,-2.0,2172.0
42841,0.7615365472127418,0.005583756345177665,3295.4615384615386,13,11,1,0.005583756345177665,0.0015228426395939086,3,17,-2.0,2344.0
687279,12.899380630630635,0.006787330316742082,1201.5367132867136,572,51,1,0.0017301038062283738,0.0,0,2,-2.0,2220.0
6988,0.15070738440303658,0.005150214592274678,6988.0,1,36,0,0.0004291845493562232,0.0001430615164520744,1,29,-2.0,1932.0
180520,3.2143874643874644,0.002448408534452606,4102.727272727273,44,7,7,0.0006995452955578874,0.0003497726477789437,1,24,-2.0,2340.0
6330057,115.07520724258288,0.042701249406927086,12584.606361829026,503,270,8,0.004586430491855132,0.0015815277558121144,10,20,-2.0,2292.0
14257,0.26425341043890865,0.006415620641562064,347.7317073170732,41,23,0,0.0,0.0005578800557880057,2,22,-2.0,2248.0
248584,4.913504111321948,0.006654567453115548,2589.4166666666665,96,11,0,0.0,0.0006049606775559589,1,24,-2.0,2108.0
643410,13.417792792792795,0.0007158196134574088,3697.7586206896553,174,4,0,0.0,0.0005368647100930567,3,27,-2.0,1998.0
1699,0.035167246232820006,0.003058103975535168,566.3333333333334,3,4,0,0.0007645259938837921,0.0,0,2,-2.0,2013.0
309171,6.562468160978094,0.004262415900862741,61834.2,5,1122,0,0.0003684976313580088,8.7375727023033e-05,23,17,48.78260869565217,1963.0
2725,0.04875125232574782,0.004288777698355968,908.3333333333335,3,6,0,0.002144388849177984,0.0,0,24,-2.0,2329.0
